lemma;tags;ordklasse
fortove;NA;V
fortrin;NA;S
fortro;NA;V
fortryde;NA;V
fortrydelig;NA;A
fortrykke;NA;V
fortræd;NA;S
fortrædelig;NA;A
fortræden;NA;A
fortræffelig;NA;A
fortrænge;psy;V
fortsætte;NA;V
fortuske;NA;V
fortusket;NA;A
fortvivle;NA;V
fortykke;NA;V
fortælle;"kom;lit;kun";V
fortænke;NA;V
fortænkelig;NA;A
fortære;NA;V
fortøgering;NA;S
fortøje;anchor;V
fortørne;NA;V
fortørnet;psy;A
fortørre;NA;V
fortøve;NA;V
forunde;NA;V
forundre;NA;V
forurene;"mij;hyg";V
forurette;NA;V
forvagte;NA;V
forvandle;NA;V
forvant;NA;A
forvantskab;NA;S
forvar;NA;S
forvare;psy;V
forveksle;NA;V
forvende;NA;V
forvide;NA;V
forvilde;"bot;zoo";V
forvinde;NA;V
forvirke;NA;V
forvirre;NA;V
forvise;NA;V
forvisse;NA;V
forvissere;NA;V
forvorpen;NA;A
forvorpenhed;NA;S
forvoven;NA;A
forældre;NA;V
forære;NA;V
foræring;NA;S
forår;pol;S
forårsage;NA;V
fourer;NA;S
fragt;"anchor;mercury";S
fransos;NA;S
fransøsk;NA;A
frejdig;NA;A
fremmed;NA;A
fremture;NA;V
fri;fam;V
fri;NA;A
fribytter;NA;S
frier;NA;S
frihed;"kri;fri;lit";S
friherre;NA;S
frilig;NA;A
frille;NA;S
frimodig;NA;A
frimodiglig;NA;ADV
fripostig;NA;A
frisk;anchor;A
fritte;zoo;S
fro;NA;A
fro;NA;ADV
frokost;gas;S
from;rel;A
fromesse;rel;S
fromme;NA;V
frommelig;NA;A
fruentimmer;NA;S
frugt;"bot;gas";S
frugtbar;"lan;bio";A
frugtsommelig;sex;A
frygt;comet;S
frygte;psy;V
frygtelig;NA;A
frynse;"tin;oad";V
frynt;NA;S
fryntlig;NA;A
fryntskab;NA;S
frøken;und;S
fråds;NA;S
frådse;NA;V
frådsig;NA;A
fugt;"met;byg;ana";S
fugte;hyg;V
fugtig;"hyg;byg;met";A
fuldbord;NA;S
fuldbringe;NA;V
fuldbyrde;NA;V
fulddrive;NA;V
fuldende;NA;V
fuldkomme;NA;V
fuldkommelig;NA;A
fuldkommen;NA;A
fuldmagt;jur;S
fuldmægtig;NA;A
fuldmægtige;NA;V
fuldstændig;NA;A
fund;NA;S
fundere;NA;V
fundig;NA;A
