tilpas	
tilstå	jur
tinde	gel;ark
tingest	
tobis	zoo
tolder	tol
tornirisk	zoo
tragt	
tragte	
trampe	fri;mad
trappe	byg
trave	zoo
tremme	ark
trippe	
trisse	hån
trods	psy
tromme	msk
trosse	hån
trygle	kom
træde	kom;erh;mil;dan;tea
trække	tek;spi;bol;han;fyo;øko;spo;sex;fys;mil;med;edb
tud	ana
tumle	psy
tumpe	
turteldue	zoo
tuske	han
tvist	jur
tæge	zoo
tænke	psy;kom
tæppe	bol;tea
tære	kem;hel
tæve	zoo
tøffel	tøj
tøffel	tøj
-tøj	sad
tøve	
tårn	ark;spi
uforlignelig	
ufortrøden	
ufortøvet	
uforvarende	
uhyre	
ukrudt	hav
ulykke	ber;hel
ulyst	psy
umage	
underlegen	
underrette	
underst	
understå	
undersåt	
undertrykke	
undervise	und
undfange	bio
undgælde	
undse	psy
undvige	kri
ur	ast;bio
uår	
vadsæk	
vagt	erh;byg;kom;psy
vagtel	zoo
vandbakkelse	bag
vandre	fri;zoo;hån
vanke	
vare	han
vare	
varig	
varpe	søf
varsko	kom
vartegn	
varulv	myt
vaske	hyg;gel
vattersot	med
vederfares	
vederkvæge	
vederlag	øko
vejbred	bot
velstand	øko
vemod	
vemodig	
videnskab	vid;rel
viderværdig	
vidtløftig	
vigtig	psy
vildt	zoo;mad
vilkår	jur
vindfang	bol;tøj
virak	
-vis	spr
vitterlig	
vittig	
vogte	
volverlej	bot
vove	
vrage	
vranten	
vrimle	
vrippen	
vunde	med
væddeløb	spo
vægtig	
væk	psy
vældig	
vælig	
vælling	mad
værdige	
værk	tin
værksted	hån;soc
vært	gas;bol;fje;bio
våning	bol
våningshus	ark
ypperst	
ytre	kom
ægte	fam;tøj
ægteskab	fam;jur
ærbar	sex
ære	scl;psy;mil
ærgerrig	psy
ærlig	
æsel	zoo
æske	
øjeblik	nat;psy
ørefigen	
øsken	
øve	
øvrig	
årsag	
behage	
strække	hyg;spo
anstå	
bismer	fsk
blænker	mil
slikker	pom
medister	mad
blæne	med
