lemma;tags
fy;NA
fyldest;NA
fyndig;"spr;psy"
fyr;"hvn;ene"
fyr-;NA
fyraften;erh
fyrbold;NA
fyrbolle;NA
fyrbøder;tek
fyre;"erh;sex"
fyrig;NA
fyrighed;NA
fyrste;NA
fyrstelig;NA
fyrstinde;NA
fyrtøj;NA
fægte;spo
fældig;NA
-fældig;NA
fælg;NA
fængsel;jur
fænnik;NA
færdig;swords
fæstne;NA
fætter;fam
føje;NA
føle;"fyo;spo;psy"
følgagtig;NA
føring;"wheel;anchor"
gabe;NA
gaber;NA
gadder;NA
gaffel;"mad;geg;ski"
galej;skb
galgant;NA
galle;bot
galm;NA
galme;NA
gandes;NA
ganes;NA
gangevogn;NA
gangvogn;NA
ganne;NA
ganning;NA
ganske;NA
garn;NA
gav;NA
gave;NA
ge-;NA
gebyr;mercury
gebærd;NA
gederams;bot
gedulde;NA
gefal;NA
gefald;NA
gehør;NA
gejstlig;rel
geled;mil
gelede;NA
gelegenhed;NA
gelejde;NA
gelejdsmand;NA
gelik;NA
gemak;NA
gemen;NA
gemenlig;NA
gemyse;gas
gendrive;NA
genegen;NA
gennemtrappet;NA
gerrig;NA
gerrighed;NA
geryst;NA
geraad;NA
geråde;NA
geraade;NA
gesel;NA
gesellestik;NA
geselstik;NA
gesind;NA
gesinde;NA
gesindeken;NA
geskæft;NA
geskænk;NA
gesvindig;NA
gesvindt;s
getagen;NA
getogen;NA
getov;NA
gevaltig;NA
gevind;NA
gevær;NA
gie;hån
gifttyde;bot
gige;msk
gigt;med
gisel;NA
gisle;NA
gisse;anchor
give;"anchor;music"
gjordel;NA
glas;"gla;bol;søf;mål"
glat;NA
glavind;NA
glib;NA
glide;NA
glinse;NA
glise;NA
glube;NA
glubsk;NA
glut;NA
glætte;NA
gnide;NA
gnægge;NA
god;"music;plus;spades;anchor;mercury;flower"
gold;NA
gorgle;NA
grabbe;NA
granske;NA
grassat;NA
grel;NA
greve;kon
grever;NA
grib;zoo
gridsk;NA
grimmende;NA
grimmenis;NA
grindel;NA
gritte;NA
groffenbrad;NA
grotfyrste;NA
grov;"psy;mad;tin;ana"
grove;NA
grovelig;NA
grovgrøn;NA
grube;"swords;wheel"
grue;comet
gruelig;NA
grunde;NA
grundelig;NA
grus;gel
grusk;NA
grusom;NA
grut;NA
grutte;lan
græker;NA
grænse;"oad;geg"
græse;NA
græselig;NA
græsenke;NA
græsk;flower
græskar;bot
græsselig;NA
græsspire;NA
grævling;zoo
grøde;NA
grøft;NA
grønirisk;zoo
grønsvær;NA
gudfrygtig;NA
gudsforgætten;NA
gudshus;NA
guldværk;NA
gunst;NA
gunstig;NA
gurgle;"hyg;aku;drk"
gusten;NA
gylden;NA
gylle;lan
gynter;NA
gæk;flower
gække;NA
gækkelig;comet
gækkeri;NA
gælde;NA
-gænger;NA
gængs;NA
gær;NA
gæstehus;NA
gæv;NA
gøgelspil;NA
gøgl;kul
gøgle;NA
gøgler;bird
gøre;"anchor;spades;comet;mercury;swords"
gørtle;NA
gaa;"anchor;comet;swords;spades;mercury"
gaaseørn;bird
hadig;NA
hadsk;NA
-haftig;NA
hage;NA
hagebøsse;NA
hakke;anchor
hakkebræt;anchor
hakkelse;NA
hale;NA
halle;NA
halsstarrig;NA
halvere;mat
hamme;NA
hamp;flower
handel;mercury
handelig;NA
handig;anchor
handle;mercury
handling;NA
handske;NA
hank;NA
hanrej;spades
hans;NA
hansa;NA
harnisk;våb
harnisket;NA
harpiks;NA
harpix;NA
harrild;flower
harsk;NA
hartkorn;NA
harts;NA
has;NA
hase;NA
hast;NA
haste;NA
hastelig;NA
hastig;NA
hastmodig;NA
hattestafferer;NA
hav;NA
have;NA
havelværk;NA
havn;anchor
-hed;NA
hedensk;NA
hedevig;NA
heftelig;NA
heftig;NA
heggel;NA
hegle;lan
hekkenfeldt;NA
helgeland;NA
heligland;NA
helled;NA
hellegat;anchor
hellighed;NA
helsfyr;NA
helt;kun
hemme;NA
hemmelig;anchor
hemmelighed;NA
hen;NA
henbringe;NA
henfart;NA
henlægge;NA
henstille;NA
herberg;NA
herberge;NA
herd;wheel
herkomst;NA
herlig;rel
herlighed;NA
hermelin;NA
herold;his
herre;"spades;mercury"
hersk;NA
herskab;NA
herske;NA
hertug;kon
hidse;psy
hidsehund;NA
hie;NA
hige;NA
hilde;wheel
hille;NA
himle;NA
himmelstreg;NA
hind;NA
hinder;NA
hinderhold;NA
hindre;NA
hingst;zoo
hinke;NA
hinter;NA
hip;NA
hippokras;NA
hirse;flower
hjald;NA
hjalte;NA
hjemsøge;NA
hjerteslag;NA
hjælmetegn;NA
hjælper;NA
hob;NA
hobe;NA
hof;kon
hoffart;NA
hoffourer;kon
hoffærd;NA
hoffærdig;NA
hoffærdighed;NA
hoflig;NA
hofte;ana
hokke;NA
hold;NA
holde;"comet;anchor;wheel;swords"
holk;anchor
holster;NA
homej;swords
horde;swords
hore;spades
horensøn;NA
horesøn;NA
hospital;NA
hov;NA
hovedkulds;NA
